latitude,longitude,dep,x,y,name,Region.num
50.027991,-5.240468,no merger,167.943733069843,19.3087770040063,NA,NA
50.076007,-5.626154,no merger,140.589359507805,25.9147380732226,NA,NA
50.187582,-5.370383,no merger,159.443574230953,37.4579041630802,NA,NA
50.282002,-4.840752,no merger,197.639475907542,46.3779512355886,NA,NA
50.346039,-3.682552,no merger,280.29877609666,50.9908318960522,NA,NA
50.421219,-3.96414,no merger,260.48799755494,59.8395760697026,NA,NA
50.508415,-4.790314,no merger,202.176970952009,71.4096682695489,NA,NA
50.574983,-3.81225,no merger,271.693318044532,76.660022246683,NA,NA
50.577706,-4.097848,no merger,251.483265286542,77.4958694191852,NA,NA
50.596439,-1.26302,merger,452.155622530431,77.7371582519854,NA,NA
50.606127,-4.512319,no merger,222.251308989395,81.5676106265658,NA,NA
50.616444,-2.06195,merger,395.617671901426,79.7040858944823,NA,NA
50.667967,-3.535299,no merger,291.514544669773,86.5553357202129,NA,NA
50.671133,-2.563294,merger,360.199066120934,85.9343211954479,NA,NA
50.725834,-3.910826,no merger,265.147329972885,93.6061533234335,NA,NA
50.754717,-2.857273,merger,339.535132731962,95.4269048223966,NA,NA
50.779847,-3.222883,no merger,313.794921707535,98.583530966696,NA,NA
50.82642,-1.701727,merger,421.005660080149,103.091633381238,NA,NA
50.8317,-2.329,merger,376.833031291119,103.68790244381,NA,NA
50.847426,0.097874,no merger,547.668423037376,107.481766896555,NA,NA
50.877069,-4.482512,no merger,225.371055274142,111.616759524873,NA,NA
50.897815,-3.833946,no merger,271.047131942716,112.589558271913,NA,NA
50.912859,-2.795911,merger,344.052427813628,112.962173333076,NA,NA
50.927046,-0.609178,no merger,497.735053165217,115.159039646248,NA,NA
50.931636,-1.086495,merger,464.187719372521,115.145701372492,NA,NA
50.93361,0.243262,no merger,557.609963493227,117.364008352452,NA,NA
50.9516,-2.000834,merger,399.941423307556,116.968268485378,NA,NA
50.966687,-3.113596,no merger,321.811984353879,119.236095430684,NA,NA
50.970644,-0.86665,no merger,479.568188965555,119.697198281634,NA,NA
50.976335,-4.171064,no merger,247.601965584939,121.962263718326,NA,NA
50.992464,0.033713,no merger,542.708057498425,123.480533085466,NA,NA
51.013156,-1.647986,merger,424.691295041532,123.871873357405,NA,NA
51.013355,-2.42717,merger,370.037189255659,123.921863644254,NA,NA
51.033234,0.816376,no merger,597.447252029997,129.819924453958,NA,NA
51.043532,-2.929939,merger,334.814481658332,127.601943537412,NA,NA
51.052032,-3.97222,no merger,261.783912279841,129.986101524166,NA,NA
51.059856,-1.993764,merger,400.436972459373,129.005735149352,NA,NA
51.075116,-3.500705,no merger,294.878855849906,131.773685107047,NA,NA
51.078178,-1.486981,merger,435.934261556277,131.168203617316,NA,NA
51.090632,-1.161219,no merger,458.736112757045,132.762432041185,NA,NA
51.090843,-0.34712,no merger,515.740823075864,133.750572927533,NA,NA
51.108187,-3.649063,no merger,284.569648372005,135.67299517284,NA,NA
51.11306,0.457947,no merger,572.026017455656,137.794734052036,NA,NA
51.127849,-3.291264,no merger,309.652040984166,137.358946464,NA,NA
51.150417,-0.712899,no merger,490.012788460881,139.863199162146,NA,NA
51.179217,-2.151269,no merger,389.42747531279,142.289110286837,NA,NA
51.17958,-3.138084,no merger,320.458513730447,142.934121598207,NA,NA
51.1797,-3.521062,no merger,293.693361395784,143.431463435793,NA,NA
51.181289,-0.357745,no merger,514.772363705894,143.790349852085,NA,NA
51.18264,1.16917,no merger,621.459823280614,147.433130221267,NA,NA
51.188321,-3.909505,no merger,266.572003639528,145.023354018572,NA,NA
51.191485,-0.113074,no merger,531.841364542989,145.334401854693,NA,NA
51.228772,-2.81108,merger,343.373014649738,148.101155618498,NA,NA
51.236308,-2.448202,merger,368.712939604845,148.722068786737,NA,NA
51.240295,-1.785885,merger,414.945183725492,149.091774117045,NA,NA
51.244295,0.759441,no merger,592.575764828057,153.132356383634,NA,NA
51.249651,-1.507402,merger,434.376191573142,150.225622300051,NA,NA
51.250869,-1.188708,no merger,456.61465466503,150.558424691197,NA,NA
51.252926,-0.483648,no merger,505.809464301962,151.566659112525,NA,NA
51.264036,1.256024,no merger,627.126466742479,156.746459819591,NA,NA
51.282598,-0.247666,no merger,522.196273430259,155.23223705422,NA,NA
51.309006,-2.137016,merger,390.450562765858,156.719533385485,NA,NA
51.327415,-2.719179,merger,349.896592239744,159.003212507007,NA,NA
51.348757,-1.671462,merger,422.877900920927,161.182174788601,NA,NA
51.374941,-1.464228,merger,437.287397809096,164.178840706546,NA,NA
51.379406,-0.96065,no merger,472.326556053762,165.05171178701,NA,NA
51.380963,0.218655,no merger,554.380467420291,167.04817888969,NA,NA
51.397,-2.393,merger,372.662018133128,166.568903994844,NA,NA
51.428867,-1.85494,merger,410.083708644445,170.049288451829,NA,NA
51.446101,0.62131,no merger,582.135234344471,175.214994597835,NA,NA
51.487453,-0.475554,no merger,505.832075281421,177.656011867702,NA,NA
51.505328,-2.083788,merger,394.185282162396,178.545333881091,NA,NA
51.540371,-1.324842,no merger,446.818411053608,182.654938599582,NA,NA
51.551795,-0.064644,no merger,534.167388171379,185.484279270296,NA,NA
51.55967,-2.485006,no merger,366.381703783582,184.69652053163,NA,NA
51.601076,-1.56018,no merger,430.458540131479,189.281253766018,NA,NA
51.615886,0.738725,no merger,589.585205614458,194.389540102569,NA,NA
51.637428,-2.987901,no merger,331.640859621474,193.694305470642,NA,NA
51.639126,-2.754597,no merger,347.786347763495,193.690633328436,NA,NA
51.641845,-1.930725,merger,404.793165295777,193.725663876143,NA,NA
51.652529,-1.037174,no merger,466.601948667618,195.350417973651,NA,NA
51.65307,-0.627904,no merger,494.910360501662,195.863032225307,NA,NA
51.663696,0.302137,no merger,559.199384032371,198.662664619603,NA,NA
51.678969,-1.507944,no merger,434.017650475001,197.966432349204,NA,NA
51.695127,0.879492,no merger,598.980283703529,203.573832005131,NA,NA
51.728226,-2.377663,no merger,373.919067316135,203.397064116929,NA,NA
51.745216,0.574241,no merger,577.693589362209,208.354562594015,NA,NA
51.753067,-2.575322,no merger,360.290854723673,206.248679471061,NA,NA
51.76258,-2.233281,merger,383.902105185559,207.175773622059,NA,NA
51.764794,-2.852012,no merger,341.209015181435,207.739610480091,NA,NA
51.767372,0.104023,no merger,545.168279124007,209.777081155985,NA,NA
51.773991,-1.001586,no merger,468.878871480444,208.890504109842,NA,NA
51.781605,-1.376999,no merger,442.972848288754,209.44933889185,NA,NA
51.792691,-3.01015,no merger,330.34030980479,210.98118759816,NA,NA
51.79769,0.984602,no merger,605.775316013174,215.267963041115,NA,NA
51.805422,-0.723713,no merger,487.987008036838,212.684685259102,NA,NA
51.80716,0.348399,no merger,561.884501468493,214.715799835326,NA,NA
51.81125,-0.292506,no merger,517.697357778546,213.941189816012,NA,NA
51.812119,0.74656,no merger,589.305954153627,216.226721605539,NA,NA
51.823063,-1.232683,no merger,452.878705955517,214.154654958127,NA,NA
51.830096,-1.752249,no merger,417.070903663705,214.687457780927,NA,NA
51.849869,-0.235508,no merger,521.521930558858,218.329112629172,NA,NA
51.856956,-2.658584,no merger,354.648478131124,217.850541946917,NA,NA
51.864256,-0.660048,no merger,492.255558039376,219.305960061906,NA,NA
51.876776,-2.79461,no merger,345.305608498865,220.148114305757,NA,NA
51.889753,1.075092,no merger,611.580466204392,225.762267862661,NA,NA
51.891879,0.618749,no merger,580.179120852299,224.770295226203,NA,NA
51.907508,0.856427,no merger,596.460884616889,227.123058279106,NA,NA
51.914357,-1.627725,no merger,425.603120515612,224.094639142301,NA,NA
51.92678,-0.761755,no merger,485.135050670138,226.135006247693,NA,NA
51.929674,-1.3108,no merger,447.383235976195,225.956958533069,NA,NA
51.933227,0.251434,no merger,554.767641361626,228.522274345353,NA,NA
51.955499,-2.989908,no merger,331.982257908538,229.067408427848,NA,NA
51.962855,-0.492528,no merger,503.561590010461,230.495859227793,NA,NA
51.964039,-2.190959,merger,386.881325168279,229.571625184969,NA,NA
51.972603,-1.989003,no merger,400.755338240773,230.506888201327,NA,NA
51.989984,-1.046743,no merger,465.449200244046,232.868816126626,NA,NA
52.002133,0.450702,no merger,568.205487197966,236.626514522323,NA,NA
52.017597,-0.054681,no merger,533.475811131245,237.297037288936,NA,NA
52.033474,0.650527,no merger,581.791177728794,240.5925280954,NA,NA
52.058535,0.916917,no merger,599.946413461186,244.079027415957,NA,NA
52.060655,-1.622814,no merger,425.856482612244,240.366523437359,NA,NA
52.062757,0.19682,no merger,550.578455381224,242.810377325941,NA,NA
52.078493,-2.190011,merger,386.979725589055,242.300276458634,NA,NA
52.091876,0.48794,no merger,570.41908481025,246.691755326129,NA,NA
52.093246,-1.863793,merger,409.330345053326,243.932747671658,NA,NA
